key,subject,assessment,start-date,finish-date,mark,link,key:audit,draft_mode,correction
auditing-record-01,A,Assessment 1,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-05,True,False
auditing-record-02,B,Assessment 1,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-05,True,False
auditing-record-03,C,A,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-05,True,False
auditing-record-04,D,A,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-05,True,False
auditing-record-05,E,A,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-05,True,False
auditing-record-06,Subject 1,But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was bo,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-01,False,False
auditing-record-07,Subject 1,But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was b,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-01,False,False
auditing-record-08,Subject 1,Assessment 1,2022/04/30 00:00,2022/05/30 00:00,A+,http:/www.us.es,audit-01,False,False
auditing-record-09,Subject 1,Assessment 1,2022/07/30 00:00,2022/05/30 00:00,A+,http:/www.us.es,audit-01,False,False
auditing-record-10,Subject 1,Assessment 1,2022/07/30 00:00,2022/05/30 00:00,F,http:/www.us.es,audit-01,False,False
auditing-record-11,<h1>My First Heading</h1>,Assessment 1,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-16,False,False
auditing-record-12,Subject1,<h1>My First Heading</h1>,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-15,False,False
auditing-record-13,CREATE TABLE employee,Assessment 1s,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-14,False,False
auditing-record-14,Subject1,CREATE TABLE employee,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-13,False,False
auditing-record-15,무지개,Assessment 1s,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-12,False,False
auditing-record-16,Subject1,무지개,2022/04/30 00:00,2022/05/30 00:00,A+,,audit-11,False,False